CellTypeId,CellType,PropertiesMask,Passable,Breakable,DropsShadow,ReceivesShadow,Blending,Glowing,Distortion,Animation,AnimationSpeed,FrameOffset,Color,ReliefGroup,TileGroup,MovementCooldown,RoundableLoose,Road,CrystalSheet,RockSheet,NonPhysicalMass
0,Unloaded,,,,,,,,Neutral,None,0,0,"RGBA(0, 0, 0, 0.5)",0,—,—,0,0,0,0,0
1,Pregener,,,,,,,,Neutral,None,0,0,"RGBA(0, 0, 0, 0.5)",0,—,—,0,0,0,0,0
29,BuildingRoad,Passable,1,0,0,0,0,0,Block,None,0,0,"Default(29/512, 29/256, 0.01)",0,—,20,0,1,0,0,0
30,Gate,Passable,1,0,0,0,0,0,Block,None,0,0,"Default(30/512, 30/256, 0.01)",0,—,20,0,0,0,0,0
31,VolcanoBackground,Glowing | Passable,1,0,0,0,0,1,Neutral,None,0,0,"Default(31/512, 31/256, 0.01)",0,—,20,0,0,0,0,0
32,Empty,Passable,1,0,0,0,0,0,Neutral,None,0,0,"RGBq(0, 0, 0)",0,—,20,0,0,0,0,0
33,BackgroundWithLightTraces,,,,,,,,Neutral,None,0,0,"RGBq(15, 11, 3)",0,—,—,0,0,0,0,0
34,BackgroundWithHeavyTraces,,,,,,,,Neutral,None,0,0,"RGBq(29, 25, 18)",0,—,—,0,0,0,0,0
35,Road,Passable,1,0,0,0,0,0,Neutral,None,0,0,"RGBq(68, 68, 68)",0,—,20,0,1,0,0,0
36,GoldenRoad,Passable,1,0,0,0,0,0,Neutral,None,0,0,"RGBq(85, 68, 34)",0,—,20,0,1,0,0,0
37,BuildingDoor,DropsShadow | Passable,1,0,1,0,0,0,Block,None,0,0,"RGBq(68, 0, 0)",0,0,20,0,0,0,0,0
38,BuildingCorner,DropsShadow,0,0,1,0,0,0,Block,None,0,0,"RGBq(51, 68, 0)",0,0,100,0,0,0,0,0
39,PolymerRoad,Passable,1,0,0,0,0,0,Neutral,None,0,0,"Default(39/512, 39/256, 0.01)",0,—,20,0,1,0,0,0
40,BlackBoulder1,Breakable | DropsShadow,0,1,1,0,0,0,Block,None,0,0,"RGBq(255, 97, 107)",1,—,100,0,0,0,0,0
41,BlackBoulder2,Breakable | DropsShadow,0,1,1,0,0,0,Block,None,0,0,"RGBq(255, 107, 97)",1,—,100,0,0,0,0,0
42,BlackBoulder3,Breakable | DropsShadow,0,1,1,0,0,0,Block,None,0,0,"RGBq(255, 107, 107)",1,—,100,0,0,0,0,0
